Адыгейск;Adygeisk
Майкоп;Maykop
Горно-Алтайск;Gorno-Altaysk
Алейск;Aleisk
Барнаул;Barnaul
Белокуриха;Belokurikha
Бийск;Biysk
Горняк;Gornyak
Заринск;Zarinsk
Змеиногорск;Zmeinogorsk
Камень-на-Оби;Stone-on-Obi
Новоалтайск;Novoaltaisk
Рубцовск;Rubtsovsk
Славгород;Slavgorod
Яровое;Yarovoe
Белогорск;Belogorsk
Благовещенск;Blagoveshchensk
Завитинск;Zavitinsk
Зея;Zeya
Райчихинск;Raichikhinsk
Свободный;Svobodniy
Сковородино;Skovorodino
Тында;Tynda
Шимановск;Shimanovsk
Архангельск;Arkhangelsk
Вельск;Velsk
Каргополь;Kargopol
Коряжма;Koryazhma
Котлас;Kotlas
Мезень;Mezen
Мирный;Mirniy
Новодвинск;Novodvinsk
Няндома;Nyandoma
Онега;Onega
Северодвинск;Severodvinsk
Сольвычегодск;Solvychegodsk
Шенкурск;Shenkursk
Астрахань;Astrakhan
Ахтубинск;Akhtubinsk
Знаменск;Znamensk
Камызяк;Kamyzyak
Нариманов;Narimanov
Харабали;Kharabali
Агидель;Agidel
Баймак;Baimak
Белебей;Belebey
Белорецк;Beloretsk
Бирск;Birsk
Давлеканово;Davlekanovo
Дюртюли;Dyurtyuli
Ишимбай;Ishimbay
Кумертау;Kumertau
Межгорье;Mizhhirya
Мелеуз;Meleuz
Нефтекамск;Neftekamsk
Октябрьский;Oktyabrskiy
Салават;Salavat
Сибай;Sibay
Стерлитамак;Sterlitamak
Туймазы;Tuymazy
Уфа;Ufa
Учалы;Uchaly
Янаул;Yanaul
Алексеевка;Alekseevka
Белгород;Belgorod
Бирюч;Biryuch
Валуйки;Valuyki
Грайворон;Grayvoron
Губкин;Gubkin
Короча;Korocha
Новый Оскол;Noviy Oskol
Старый Оскол;Stary Oskol
Строитель;Builder
Шебекино;Shebekino
Брянск;Bryansk
Дятьково;Dyatkovo
Жуковка;Zhukovka
Злынка;Sinister
Карачев;Karachev
Клинцы;Klintsy
Мглин;Mglin
Новозыбков;Novozybkov
Почеп;Pochep
Севск;Sevsk
Сельцо;Seltso
Стародуб;Starodub
Сураж;Surazh
Трубчевск;Trubchevsk
Унеча;Unecha
Фокино;Fokino
Бабушкин;Babushkin
Гусиноозёрск;Gusinoozyorsk
Закаменск;Zakamensk
Кяхта;Kyakhta
Северобайкальск;Severobaikalsk
Улан-Удэ;Ulan-Ude
Александров;Alexandrov
Владимир;Vladimir
Вязники;Vyazniki
Гороховец;Gorokhovets
Гусь-Хрустальный;Gus-Khrustalny
Камешково;Kameshkovo
Карабаново;Karabanovo
Киржач;Kirzhach
Ковров;Kovrov
Кольчугино;Kolchugino
Костерёво;Kosterevo
Курлово;Kurlovo
Лакинск;Lakinsk
Меленки;Melenki
Муром;Murom
Петушки;Cockerels
Покров;Pokrov
Радужный;Raduzniy
Собинка;Sobinka
Струнино;Strunino
Судогда;Suddenly
Суздаль;Suzdal
Юрьев-Польский;Yuriev-Polsky
Волгоград;Volgograd
Волжский;Volzhsky
Дубовка;Dubovka
Жирновск;Zhirnovsk
Калач-на-Дону;Kalach-na-Donu
Камышин;Kamyshin
Котельниково;Kotelnikovo
Котово;Kotovo
Краснослободск;Krasnoslobodsk
Ленинск;Leninsk
Михайловка;Mikhailovka
Николаевск;Nikolaevsk
Новоаннинский;Novoanninsky
Палласовка;Pallasovka
Петров Вал;Petrov Val
Серафимович;Serafimovich
Суровикино;Surovikino
Урюпинск;Uryupinsk
Фролово;Frolovo
Бабаево;Babaevo
Белозерск;Belozersk
Великий Устюг;Veliky Ustyug
Вологда;Vologda
Вытегра;Vytegra
Грязовец;Gryazovets
Кадников;Kadnikov
Кириллов;Kirillov
Красавино;Krasavino
Никольск;Nikolsk
Сокол;Sokol
Тотьма;Totma
Устюжна;Ustyuzhna
Харовск;Kharovsk
Череповец;Cherepovets
Бобров;Bobrov
Богучар;Boguchar
Борисоглебск;Borisoglebsk
Бутурлиновка;Buturlinovka
Воронеж;Voronezh
Калач;Kalach
Лиски;Liski
Нововоронеж;Novovoronezh
Новохопёрск;Novokhopyorsk
Острогожск;Ostrogozhsk
Павловск;Pavlovsk
Поворино;Povorino
Россошь;Rossosh
Семилуки;Semiluki
Эртиль;Ertil
Буйнакск;Buinaksk
Дагестанские Огни;Dagestan Lights
Дербент;Derbent
Избербаш;Izberbash
Каспийск;Kaspiysk
Кизилюрт;Kizilyurt
Кизляр;Kizlyar
Махачкала;Makhachkala
Хасавюрт;Khasavyurt
Южно-Сухокумск;Yuzhno-Sukhokumsk
Биробиджан;Birobidzhan
Облучье;Obluchie
Балей;Baley
Борзя;Borzya
Краснокаменск;Krasnokamensk
Могоча;Mogocha
Нерчинск;Nerchinsk
Петровск-Забайкальский;Petrovsk-Zabaikalsky
Сретенск;Sretensk
Хилок;Khilok
Чита;Chita
Шилка;Shilka
Вичуга;Vichuga
Гаврилов Посад;Gavrilov Posad
Заволжск;Zavolzhsk
Иваново;Ivanovo
Кинешма;Kineshma
Комсомольск;Komsomolsk
Кохма;Kokhma
Наволоки;Navoloki
Плёс;Plyos
Приволжск;Privolzhsk
Пучеж;Puchezh
Родники;Springs
Тейково;Teikovo
Фурманов;Furmanov
Шуя;Shuya
Южа;Yuzha
Юрьевец;Yuryevets
Карабулак;Karabulak
Магас;Magas
Малгобек;Malgobek
Назрань;Nazran
Алзамай;Alzamay
Ангарск;Angarsk
Байкальск;Baikalsk
Бирюсинск;Biryusinsk
Бодайбо;Bodaibo
Братск;Bratsk
Вихоревка;Vikhorevka
Железногорск-Илимский;Zheleznogorsk-Ilimsky
Зима;Zima
Иркутск;Irkutsk
Киренск;Kirensk
Нижнеудинск;Nizhneudinsk
Саянск;Sayansk
Свирск;Svirsk
Слюдянка;Slyudyanka
Тайшет;Taishet
Тулун;Tulun
Усолье-Сибирское;Usolye-Sibirskoe
Усть-Илимск;Ust-Ilimsk
Усть-Кут;Ust-Kut
Черемхово;Cheremkhovo
Шелехов;Shelekhov
Баксан;Baksan
Майский;Mayskiy
Нальчик;Nalchik
Нарткала;Nartkala
Прохладный;Prohladiy
Терек;Terek
Тырныауз;Tyrnyauz
Чегем;Chegem
Багратионовск;Bagrationovsk
Балтийск;Baltiysk
Гвардейск;Gvardeysk
Гусев;Gusev
Зеленоградск;Zelenogradsk
Калининград;Kaliningrad
Краснознаменск;Krasnoznamensk
